,skills
0,Communication Skills
679,Customer Service
1357,Teamwork / Collaboration
2035,Organizational Skills
2714,Physical Abilities
3390,Detail-Oriented
4069,Scheduling
4747,Problem Solving
5424,Microsoft Excel
6102,Sales
6771,Computer Literacy
7448,Planning
8126,Microsoft Office
8803,Writing
9480,Cleaning
10155,Research
10834,English
11513,Multi-Tasking
12190,Building Effective Relationships
12866,Written Communication
13543,Budgeting
14219,Repair
14891,Customer Contact
15565,Creativity
16243,Retail Industry Knowledge
16872,Time Management
17547,Troubleshooting
18219,Project Management
18890,Patient Care
19509,Microsoft Word
20183,Verbal / Oral Communication
20859,Personal Protective Equipment (PPE)
21536,Teaching
22203,Quality Assurance and Control
22876,Microsoft Powerpoint
23543,Lifting Ability
24214,Staff Management
24885,Leadership
25560,Cardiopulmonary Resuscitation (CPR)
26208,Positive Disposition
26882,Data Entry
27551,Merchandising
28114,Self-Starter
28788,Presentation Skills
29457,Typing
30126,Product Sales
30772,Bilingual
31442,Accounting
32066,Spanish
32737,Energetic
33407,Meeting Deadlines
34080,Customer Billing
34731,Administrative Support
35380,Listening
36048,Forklift Operation
36675,Telephone Skills
37321,Treatment Planning
37876,Appointment Setting
38529,Occupational Health and Safety
39194,SQL
39765,Critical Thinking
40436,Sales Goals
41007,Analytical Skills
41666,Work Area Maintenance
42322,Basic Mathematics
42985,Decision Making
43657,Mentoring
44322,Oral Communication
44996,Business Development
45630,Preventive Maintenance
46260,Customer Checkout
46890,Advanced Cardiac Life Support (ACLS)
47342,Software Development
47908,Quality Management
48574,Store Management
49059,Onboarding
49713,Cash Handling
50239,Packaging
50876,Product Knowledge
51491,Machinery
52163,Social Media
52807,Supervisory Skills
53467,Spreadsheets
54130,Python
54690,Process Improvement
55338,Prioritizing Tasks
56009,Java
56554,Record Keeping
57224,Inventory Management
57854,Microsoft Outlook
58522,Caregiving
59064,Technical Support
59724,Retail Sales
60258,Home Health
60786,Key Performance Indicators (KPIs)
61407,Hand Tools
62018,Prospective Clients
62642,Plumbing
63240,Cooking
63808,Food Safety
64356,Business Process
64947,Guest Services
65488,Editing
66146,Life Support
66662,Software Engineering
67200,Inventory Control
67832,Data Analysis
68450,Calculation
69113,Purchasing
69773,Case Management
70351,Salesforce
70941,Administrative Functions
71596,People Management
72259,Health Insurance Portability and Accountability Act (HIPAA)
72849,Description and Demonstration of Products
73466,Acute Care
73937,Business Administration
74545,Predictive / Preventative Maintenance
75148,Mental Health
75743,SAP
76369,Information Systems
76998,HVAC
77595,Patient/Family Education and Instruction
78078,Conflict Management
78729,Procurement
79375,JavaScript
79884,Project Planning and Development Skills
80503,Sorting
81120,Oracle
81683,Performance Appraisals
82349,Sales Management
82912,Cost Control
83544,Enterprise Resource Planning (ERP)
84123,Rehabilitation
84739,Laundry
85309,Food Preparation
85785,Manual Dexterity
86449,Medical Coding
87029,Training Programs
87681,Linux
88183,Product Development
88770,Product Management
89319,Client Base Retention
